true_class,neg_class,cap_shape,cap_surface,cap_color,odor
1,0,24,19,14,16
0,1,24,19,25,1
0,1,2,19,23,12
1,0,24,25,23,16
0,1,24,19,7,14
0,1,24,25,25,1
0,1,2,19,23,1
0,1,2,25,23,12
1,0,24,25,23,16
0,1,2,19,25,1
0,1,24,25,25,12
0,1,24,25,25,1
0,1,2,19,25,1
1,0,24,25,23,16
0,1,24,6,14,14
0,1,19,6,7,14
0,1,6,6,23,14
1,0,24,19,14,16
1,0,24,25,23,16
1,0,24,19,14,16
0,1,2,19,25,1
1,0,24,25,14,16
0,1,2,25,25,12
0,1,2,25,23,1
0,1,2,19,23,12
1,0,6,19,23,16
0,1,24,25,25,1
0,1,24,25,23,12
0,1,6,6,14,14
0,1,24,19,25,1
0,1,2,19,25,12
1,0,24,25,23,16
0,1,24,25,25,12
0,1,24,25,14,12
0,1,2,25,25,12
0,1,24,6,25,12
0,1,19,6,7,14
1,0,24,25,14,16
0,1,24,6,25,1
0,1,2,19,25,12
0,1,2,25,25,1
0,1,24,25,25,12
0,1,24,6,14,14
1,0,24,25,23,16
0,1,24,19,25,1
0,1,24,25,23,1
0,1,24,25,25,12
0,1,24,19,23,12
0,1,24,25,25,12
0,1,6,25,25,12
0,1,24,25,14,1
0,1,24,19,23,12
0,1,2,19,23,12
1,0,24,25,14,16
1,0,24,19,23,16
0,1,2,25,25,1
0,1,6,6,7,14
0,1,2,19,23,1
0,1,24,19,25,12
0,1,24,25,14,1
0,1,19,6,7,14
0,1,2,25,25,1
0,1,2,19,25,12
0,1,2,25,25,12
0,1,2,25,23,12
0,1,6,19,14,14
0,1,24,19,23,12
0,1,6,25,25,1
0,1,24,25,25,1
0,1,24,6,7,14
0,1,6,6,25,12
0,1,2,25,23,12
0,1,6,6,25,12
0,1,24,25,14,1
0,1,2,19,25,1
0,1,6,19,25,12
0,1,24,19,23,12
0,1,6,25,14,12
1,0,24,25,14,16
0,1,6,25,14,1
0,1,24,19,14,14
1,0,24,25,23,16
0,1,6,6,7,14
0,1,24,6,7,14
0,1,24,25,25,12
0,1,24,19,14,14
0,1,2,19,23,1
0,1,24,19,23,12
0,1,6,25,14,12
0,1,19,6,14,14
0,1,24,6,14,14
0,1,2,19,23,12
0,1,24,25,25,1
0,1,24,25,25,12
0,1,24,19,14,14
0,1,24,19,23,1
0,1,6,25,14,12
0,1,24,19,25,1
